fips_code,county,state,customers_out,run_start_time
09001,Fairfield,Connecticut,1,2019-01-01 10:45:00
09003,Hartford,Connecticut,1,2019-01-01 10:45:00
09005,Litchfield,Connecticut,1,2019-01-01 10:45:00
09007,Middlesex,Connecticut,2,2019-01-01 10:45:00
09011,New London,Connecticut,53,2019-01-01 10:45:00
09001,Fairfield,Connecticut,1,2019-01-01 11:00:00
09003,Hartford,Connecticut,1,2019-01-01 11:00:00
09005,Litchfield,Connecticut,1,2019-01-01 11:00:00
09007,Middlesex,Connecticut,2,2019-01-01 11:00:00
09011,New London,Connecticut,53,2019-01-01 11:00:00
09001,Fairfield,Connecticut,1,2019-01-01 11:15:00
09003,Hartford,Connecticut,8,2019-01-01 11:15:00
09005,Litchfield,Connecticut,1,2019-01-01 11:15:00
09007,Middlesex,Connecticut,2,2019-01-01 11:15:00
09011,New London,Connecticut,53,2019-01-01 11:15:00
09001,Fairfield,Connecticut,1,2019-01-01 11:30:00
09003,Hartford,Connecticut,1,2019-01-01 11:30:00
09005,Litchfield,Connecticut,1,2019-01-01 11:30:00
09007,Middlesex,Connecticut,2,2019-01-01 11:30:00
09001,Fairfield,Connecticut,3,2019-01-01 11:45:00
09005,Litchfield,Connecticut,1,2019-01-01 11:45:00
09001,Fairfield,Connecticut,10,2019-01-01 12:00:00
09005,Litchfield,Connecticut,1,2019-01-01 12:00:00
09001,Fairfield,Connecticut,10,2019-01-01 12:15:00
09005,Litchfield,Connecticut,1,2019-01-01 12:15:00
09001,Fairfield,Connecticut,11,2019-01-01 12:30:00
09003,Hartford,Connecticut,34,2019-01-01 12:30:00
09001,Fairfield,Connecticut,21,2019-01-01 12:45:00
09003,Hartford,Connecticut,34,2019-01-01 12:45:00
09015,Windham,Connecticut,1,2019-01-01 12:45:00
09001,Fairfield,Connecticut,12,2019-01-01 13:00:00
09003,Hartford,Connecticut,34,2019-01-01 13:00:00
09009,New Haven,Connecticut,1,2019-01-01 13:00:00
09015,Windham,Connecticut,1,2019-01-01 13:00:00
09001,Fairfield,Connecticut,11,2019-01-01 13:15:00
09003,Hartford,Connecticut,34,2019-01-01 13:15:00
09009,New Haven,Connecticut,1,2019-01-01 13:15:00
09015,Windham,Connecticut,1,2019-01-01 13:15:00
09001,Fairfield,Connecticut,11,2019-01-01 13:30:00
09003,Hartford,Connecticut,34,2019-01-01 13:30:00
09015,Windham,Connecticut,1,2019-01-01 13:30:00
09001,Fairfield,Connecticut,11,2019-01-01 13:45:00
09003,Hartford,Connecticut,34,2019-01-01 13:45:00
09015,Windham,Connecticut,1,2019-01-01 13:45:00
09001,Fairfield,Connecticut,12,2019-01-01 14:00:00
09003,Hartford,Connecticut,117,2019-01-01 14:00:00
09015,Windham,Connecticut,1,2019-01-01 14:00:00
09001,Fairfield,Connecticut,9,2019-01-01 14:15:00
09003,Hartford,Connecticut,85,2019-01-01 14:15:00
09007,Middlesex,Connecticut,1,2019-01-01 14:15:00
09015,Windham,Connecticut,1,2019-01-01 14:15:00
09001,Fairfield,Connecticut,7,2019-01-01 14:30:00
09003,Hartford,Connecticut,85,2019-01-01 14:30:00
09005,Litchfield,Connecticut,29,2019-01-01 14:30:00
09007,Middlesex,Connecticut,1,2019-01-01 14:30:00
09009,New Haven,Connecticut,1,2019-01-01 14:30:00
09015,Windham,Connecticut,1,2019-01-01 14:30:00
09001,Fairfield,Connecticut,8,2019-01-01 14:45:00
09003,Hartford,Connecticut,84,2019-01-01 14:45:00
09005,Litchfield,Connecticut,220,2019-01-01 14:45:00
09007,Middlesex,Connecticut,1,2019-01-01 14:45:00
09015,Windham,Connecticut,1,2019-01-01 14:45:00
09001,Fairfield,Connecticut,38,2019-01-01 15:00:00
09003,Hartford,Connecticut,85,2019-01-01 15:00:00
09005,Litchfield,Connecticut,220,2019-01-01 15:00:00
09007,Middlesex,Connecticut,1,2019-01-01 15:00:00
09015,Windham,Connecticut,1,2019-01-01 15:00:00
09001,Fairfield,Connecticut,39,2019-01-01 15:15:00
09003,Hartford,Connecticut,84,2019-01-01 15:15:00
09005,Litchfield,Connecticut,220,2019-01-01 15:15:00
09001,Fairfield,Connecticut,54,2019-01-01 15:30:00
09003,Hartford,Connecticut,84,2019-01-01 15:30:00
09005,Litchfield,Connecticut,220,2019-01-01 15:30:00
09001,Fairfield,Connecticut,88,2019-01-01 15:45:00
09003,Hartford,Connecticut,84,2019-01-01 15:45:00
09005,Litchfield,Connecticut,28,2019-01-01 15:45:00
09001,Fairfield,Connecticut,75,2019-01-01 16:00:00
09003,Hartford,Connecticut,83,2019-01-01 16:00:00
09005,Litchfield,Connecticut,29,2019-01-01 16:00:00
09001,Fairfield,Connecticut,77,2019-01-01 16:15:00
